StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q4,Q3,Q48,Q48_1,Q48_2,Q48_3,Q48_4,Q49_1,Q49_2,Q49_3,Q49_4,Q53_1,Q53_2,Q53_3,Q53_4,Q53_5,Q53_5_TEXT,Q9,Q10,Q11,Q13,Q14,Q51,Q52,Q57,Q55,Q58,Q59,Q15,Q16,Q17_First Click,Q17_Last Click,Q17_Page Submit,Q17_Click Count,Q19,Q20,Q21,Q22,Q24,Q46,Q25,Q26,Q27,Q28,Q29
2022-09-22 17:03:20,2022-09-22 17:20:29,IP Address,73.210.47.67,100,1028,True,2022-09-22 17:20:29,R_Zh6Tk8tw3S5ZXBT,,,,,42.0311,-87.6858,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",Jeremy,Once a week,Less than once a month,Less than once a month,Less than once a month,Once every few weeks,Less than once a month,Less than once a month,Less than once a month,Once a week,Once a week,Less than once a month,Less than once a month,Less than once a month,,A session in which everybody was able to communicate their ideas and thoughtful discourse took place or a solution was formed.,Dismissing others' ideas and having only a few people lead the collaboration.,You confront them the moment you notice them. Make sure at every discussion people are constantly keeping track of how they felt in each collaboration session and try to be better or adjust so that the next is better.,Collaboration is done best when everybody gets to do so. If some have a hard time collaborating because of a lack of skill it can work to pair them up with someone a bit more experienced.,Ask a lot of questions and thank people for helping you if talking to someone more experienced.,How often did they attend collaboration sessions. How communicative are they through whatever platform the team chose to use.,How work is being handled by the group. General morale of the group at a certain time.,A log of who has talked or contributed to a session so far.,Emphasize the importance of everybody participating and trying to bring in those who have participated less into the collaboration.,How everybody felt after the collaboration session.,Use it to gage if collaboration sessions are being conducted properly and see if there are certain things that could be addressed so that future sessions are better.,In a group setting where people have to accomplish tasks by working together. So that anything that's learned can be instantly put into practice.,N/A,0,0,160.446,0,"The purpose of the platform was to provide teams with a way of monitoring their discussions. For instance by using a microphone the platform is able to capture audio live from the discussion. This audio is then transcribed and reveals useful information that it tracks such as emotional tone, analytical thinking, etc. ",Agree,Neutral,n/a,Agree,Strongly agree,Neutral,Agree,No,,Maybe
2022-09-21 13:21:24,2022-09-22 18:03:20,IP Address,165.124.85.91,100,103315,True,2022-09-22 18:03:21,R_1eWOadYsuPNFA89,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",squanky,Once every few weeks,Once every few weeks,Less than once a month,Less than once a month,Once a week,Once every few weeks,Less than once a month,Less than once a month,Once a week,Once a week,Once a week,Once a month,Less than once a month,,"I would describe a good collaboration to be one in which both or all parties gain something from the other(s) in the collaboration.  For instance, collaborating on a problem set in which each person is proficient in a subset of the material needed, but neither knows all the material, so they help each other on the parts they lack.  ","A bad collaboration is often characterized by uneven participation or skill.  For example, collaborating on a problem set in which one person knows the majority of the material needed, but the other person only knows a small amount which is a subset of what the first person knows already, thus being no help at all.",I usually break off the collaboration and ask to reconvene when the others have a better grasp of what is required for the collaboration to be successful.,"I have been taught that collaboration is a good way to get better, more rounded knowledge from a given class.","I would advise them to seek out collaboration wherever possible, even in situations where there do not seem to be collaboration options.",It is helpful to see which groupmates did what percent of a given assignment or project in a collaboration.,It would be helpful to see what percent of a groupmate's contributions are done correctly or are made of factual content.,It could be interesting to see how much each person has talked in real-time during a collaboration.,I would use this to see which groupmates have been participating the least.,I would like to see the percentage that each person contributed.,I would use this information to suggest who should work more in the next collaboration.,"I would want to learn by experience, by participating in several collaborations until I am sure of the best way to proceed.",,187.052,187.052,209.947,1,The data capture platform allows input from microphones.  This is analyzed for keywords using AI.  It can then be analyzed after a collaboration.,Strongly disagree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,No,,No
2022-09-22 18:45:00,2022-09-22 19:23:42,IP Address,207.229.144.207,100,2321,True,2022-09-22 19:23:42,R_2QQb2qZnDupY8on,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",,2-3 times per week,2-3 times per week,Once a week,Once a week,2-3 times per week,2-3 times per week,Once a week,Once a week,At least daily,At least daily,At least daily,At least daily,At least daily,,"A good collaboration is one that has lots of communication and respect among the people in the group. ","A bad collaboration is one that has no communication and a lack of drive eithin the group to work together ","Improving communication and making time within the group to meet and work towrds completing the task at hand. ","Collaborating is an important skill to have that can be difficult to improve on. Communication helps improve collaboration. ","A good person with communiucation is more valuable in a. group than a person with no commuinicaton and good set of technical skills. ","Information such as communicating and thecnical information are imporatnt pioeces of inmfromation ","Information such as commnication and being able to communicate with people is important. ","Collaboratin is difficult when theres no group to collaborate with. Real time collaboiration happens in workplaces. ","Real time inoframtion should given in real time and communication is important . ","Communication is important and is required in order to collaborate with others. Communication is not as simple as people make it to be. ","Information in post hoc is also difficult to communicate, since not many people are communicative that well. ","Learning to collaborate is difficult when there is no communication present during collaboration. ",Collaboration is important in all es,14.926,14.926,152.653,1,"Computer Science is an important field to work in. Collaboration in computer science is just as important as communicating in computer science. ",Agree,Agree,,Neutral,Agree,Neutral,Neutral,Yes,"I am not sure ",Maybe
2022-09-22 19:22:43,2022-09-22 19:38:13,IP Address,165.124.85.149,100,929,True,2022-09-22 19:38:13,R_10JhWQh64h9XaPd,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",skdfjbhadfg,2-3 times per week,Once every few weeks,Less than once a month,Less than once a month,2-3 times per week,Less than once a month,Less than once a month,Less than once a month,Less than once a month,2-3 times per week,Less than once a month,Less than once a month,Less than once a month,N/A,Good collaboration involves a clashing of ideas in which all participants demonstrate that they are engaged with the problem at hand.,"Bad collaboration involves unequal amounts of participation and engagement, poor communication, and limited opportunities for participants of the collaboration to learn from each other.","Try to improve communication, and point out any imbalances in engagement or situations in which people are being deprived of their ability and right to learn.","Collaboration involves listening, empathy, clear communication with assertiveness.","Listen to your peers. Don't feel like you have to know everything but come prepared with what you do know and come prepared to learn and help others. Don't expect other people to do everything for you, and don't let them do everything for you.","I would need to know how they've contributed to deliverables, the compromises they made with other group members to coordinate schedules, the way they've communicated with their group.","It would be nice to see how the group reacts to insights from individual group members, and how the group either builds/acts on their ideas or finds a way to suggest other ideas.","I would like to see people's body language, expressions, and comments in responses to their peers in real time.","This information taken together provides a good measure of the group dynamic and any potential tension between group members. ",I don't think I quite understand the question but after the collaboration I would like to see that the group members are comfortable with each other as well as the deliverable they've worked together to complete.,I would probably use this information to make statements about what drove the success or failure of the group in completing whatever they were aiming to complete.,"I would like to learn how to collaborate simply by being thrown on a group of people and asked to solve challenges. ",Collaboration is a broad term.,12.513,148.123,148.54,3,The data capture platform can measure the direction of a discussion using audio capture. The data capture platform can generate keyword lists from a discussion.,Strongly disagree,Agree,I don't think I fully understand the usefulness of this data,Disagree,Agree,Neutral,Strongly agree,No,,No
2022-09-22 19:30:41,2022-09-22 19:47:28,IP Address,104.244.243.47,100,1006,True,2022-09-22 19:47:28,R_ac2WakKqAtuvC2B,,,,,41.9409,-87.6532,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",young,Once every few weeks,2-3 times per week,Less than once a month,Less than once a month,Once every few weeks,Less than once a month,Less than once a month,Less than once a month,Once a week,Once every few weeks,Once a week,Less than once a month,Less than once a month,,"Something that is worth the time. If I attain my goal in the collaboration session, without too much digression, I would say it is good team work.",Making not much progress and procrastinating a lot. That would include surfing on the internet for something that is unrelated to the collaboration or just chatting in general.,"I would tend to wrap it up as soon as possible. If it is a group project that I must do, I would reschedule the meeting. Otherwise, I will avoid collaborating with the same people again.","I have not been taught anything except I should not plagiarize in any circumstance, but what I self-taught is to plan out a general outline of how the meeting is supposed to go.",I would say a necessary thing before meeting as a group is to set a target goal and a timeline. If that is not fixed in advance there cannot be a standard of efficiency.,"It would definitely be the amount of actual contribution of the individual. In my opinion, time commitment does not matter as long as the individual is doing his/her task with in the deadline.","That would be the relative time it takes for the group to finish a task. If group A had to spend an hour for a paper and group B spent 3 hours, group 3 did not spend quality time. ",,,,,"Everyone should set their goal before the meeting, such as what they want to do, what they have to do, and the amount of time they want to commit to the meeting/project.",,11.276,113.758,170.126,3,This data capture platform serves to increase the efficiency in collaborative learning. The platform allows users to effectively plan out a meeting in advance and even during the actual collaboration.,Agree,Agree,,Neutral,Neutral,Neutral,Neutral,No,,Maybe
2022-09-22 18:58:23,2022-09-22 20:18:54,IP Address,24.13.80.201,100,4831,True,2022-09-22 20:18:55,R_2RaDT1IZY4mCEVC,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",vht1,Once every few weeks,Once every few weeks,Once a month,Once a month,2-3 times per week,2-3 times per week,Less than once a month,Less than once a month,2-3 times per week,2-3 times per week,2-3 times per week,Less than once a month,Less than once a month,,"A good collaboration is when everyone gets to share their thoughts and ideas, and people can bounce off each other and come to a better solution together.","A bad collaboration is when a minority of the group's ideas dominate the conversation and don't leave room for other people to give their own input, thus not reflective of the entire group.",I deal with poor collaboration by either trying to negotiate or simply just changing the group that I'm in if negotiation doesn't work.,"I've been taught that you should listen to others and consider everyone's thoughts and ideas, and that you should be willing to compromise within reason if that is what's best for the group.","I would tell them that you should be willing to accept criticism and don't be afraid to share your ideas just because you think they aren't good enough, share them regardless.","It would be useful to get input of how long they're talking for, their tone (receptiveness to ideas), and their question/response ratio.","It would be useful to get the total time spent talking, if there's overlapping talking (people talking over each other), and how often each person is contributing.","In real time, I'd like to see who's talking at a given time and for how long, as well as the volume, and overlapping talking.",I would use this real-time information to determine if it seems like one person may be talking for longer than others or not as much.,"After the collaboration, I'd like to see the percentage of talking contribution (how much each person talked) as well as the talking to silence ratio.",I would use this post-hoc information to see who needs to contribute more in the group.,"In my ideal world, I'd want to learn how to collaborate by being placed both in environments with people that aren't easy for me to work with as well as an environment with people that are easy for me to work with so I can learn more about collaboration from the former group.",,0,0,149.702,0,"The purpose of the platform in the video is to provide real-time analytics of a discussion on the platform. Each individual participant is given metrics on their participation time, as well as the qualities of their contribution such as confusion or emotional tone.",Strongly disagree,Agree,,Neutral,Neutral,Disagree,Agree,No,,Maybe
2022-09-22 14:58:42,2022-09-22 20:20:35,IP Address,98.63.18.55,100,19313,True,2022-09-22 20:20:35,R_33pxfV5Q06nX3Ra,,,,,42.0311,-87.6858,anonymous,EN,I am a Masters student,Second Year,"Yes, I am a Northwestern student",Tianyi Wu,At least daily,Less than once a month,Less than once a month,Less than once a month,At least daily,Less than once a month,Less than once a month,Less than once a month,At least daily,At least daily,2-3 times per week,Less than once a month,Less than once a month,na,"A good collaboration means good team mates and achievable goal. Good team mates means they are collaborative, helpful, friendly and willing to work with others. ","If the goal for the collaboration is unrealistic, then there could be 0 motivations from every team members, which results a bad collaboration. What's more, unwillingness to communicate will not doubt cause the bad collaboration.","Try my best to persuade them to collaborate or just do work by myself. No matter poor or great collaboration, we all need to deliver works in the end. ","Try my best to communicate, dive deep into the question first and then ask in the collaboration, be friendly and earn trust from my teammates by helping them.","Please focus more on the result. The most effective way sometimes could be just do all the work by yourself and it could save you tons of time. This is because there will always unfriendly people in your team who reject to communicate. So instead of wasting your time, do your own work and make the deliver in the end.","check github contribution or give out survey to each members in the group to have a seperate evaluation. What's more, if there is any doubt, it is strongly suggested to have ""work evidence"" and submit those at the end of the project.","Paper work, submission records, meeting records, github contribution frequency and contents, survey results from team mates","it is hard to define because we all have bias through the ""quality"". But I would say its about the feedback given between the team members.","I would use it to improve myself, make the collaboration better next time. For example, I will read the feedback and to see which part I need to improve.","I would like to see feedback report, peer evaluations and project evaluation after the collaboration.","I will use the report to check whether I am a good collaborator, use peer evaluations to check where exactly I need to do better and the project evaluation indicates how's the checmial reaction between our team work.","Ideally, it is better to collaborate first with close friends and then team with random people. What's more, maybe it is better to do several small projects then proceed to large one.","Collaboration is not that required, at least in my opinion. In the industry, people/manager only cares about the final delivery. They want to see positive collaborations but that's not a must.",9.987,57.542,89.991,2,It visualized the captured data on the platform and able to somehow abstract away the data collecting process.,Strongly agree,Neutral,"If it is for learning purpose, then it is fine.",Disagree,Neutral,Neutral,Neutral,No,Maybe auto collect key words mentioned in the classroom and generate recommendations/contents based on that.,No
2022-09-22 20:13:38,2022-09-22 21:26:04,IP Address,89.47.62.102,100,4345,True,2022-09-22 21:26:04,R_RIxJuNXuj2BJcAN,,,,,51.5064,-0.02,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",svint,2-3 times per week,2-3 times per week,Less than once a month,Less than once a month,2-3 times per week,2-3 times per week,Less than once a month,Less than once a month,2-3 times per week,2-3 times per week,2-3 times per week,Less than once a month,Less than once a month,,"Good collaboration is when all team members are engaged in the work, and their opinions are heard.","For me personally, bad collaboration is when there is one ""bossy team leader"" that imposes their ideas on the team while disregarding other opinions.",I try to mitigate poor collaboration experiences by addressing their root cause - whatever that may be.,"Respect your teammates; sometimes, you're the issue; do your best to de-escalate.",Everybody here is smart - don't be too pretentious; respect your teammates but don't be afraid to point out mistakes.,How much time they spent on the tasks; what alternatives they considered; how did they arrive at the solution,Were deliverables met? How was the work flow in the team? Did everybody feel included?,How is the work flow in the team? Does everybody feel included? Do arguments escalate?,This information would be useful because it would point to the root cause of the issue.,Keeping in touch? Post-project feedback and reflections; whether or not our deliverables were successful,I would use it to reflect on my performance and do better for the next projects,"In my ideal world, I would want to learn to collaborate by actually collaborating with people on projects,",,0,0,335.485,0,The app gives discussion facilitators real-time insights into student groups which enhances collaboration. You can use Respeakers to start discussions based on key words.,Neutral,Agree,,Disagree,Agree,Disagree,Agree,Yes,Interactive polls,Maybe
2022-09-22 21:25:02,2022-09-22 21:57:55,IP Address,75.209.139.132,100,1972,True,2022-09-22 21:57:55,R_2urD5tIwYUiOj20,,,,,41.9209,-87.7043,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",pm,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Once every few weeks,Less than once a month,Less than once a month,Less than once a month,Less than once a month,,One where everyone in the team is making some kind of effort to come up with ideas,One where some people don't make enough effort to contribute to the discussion but rather just leave all the responsibilities to others,Have a weekly evaluation so that the people who aren't meeting their participation minimum are called out to improve,"I have been taught that as a member of a team, one must always find their best strengths that they can help the team with.","Be excited about being part of the team. It is the excitement which makes you want to help in every way possible, and it is this spirit that makes you a good collaborator","I would need to know that an individual is focusing on the something that no one else in their group is focusing on. ","I would need to know the strengths of everyone, in the hopes that everyone in the group has a unique strength different from the others in the same group. I believe it isn't much helpful to have people with the same strengths collaborate together.","I am not sure that what I would like to see for collaboration quality would be able to be seen in realtime, but if I have to say something, then maybe the time each individual is putting into collaborating on a project can be tracked and publicized for everyone to see","This information should at the very least show the people making the best efforts in collaborating. A good observation would be witnessing similar times of collaboration efforts. Obviously, if someone is putting way less time into collaborating, then they can be called out to do better",I would like to see the end results of whatever each individual was working on.,"It would be great to analyze the time each individual put in, and the end results of the work they were doing","By being part of a team at a company, with people who have much more experience than me so that I can learn how to do it right ",n/a,264.154,264.154,275.592,1,"I believe the data captured is useful to understand how the team members are communicating with each other. In the case that there is too much negativity or harsh words that are being said in a group, it would be great to quickly understand what is going on and whether everyone in that group is comfortable with that is being said",Agree,Neutral,,Neutral,Agree,Disagree,Neutral,Yes,,Maybe
2022-09-22 21:18:09,2022-09-22 22:29:20,IP Address,165.124.85.138,100,4270,True,2022-09-22 22:29:20,R_3fNnPoyvKZVtFNx,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",Pyti,Once a week,Once every few weeks,Less than once a month,Less than once a month,Once every few weeks,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Once every few weeks,Once every few weeks,Less than once a month,Less than once a month,,"Each member contributes to the collaborative task and if not, they at least learn from the other members such that they can more meaningfully contribute to future collaboration. ","A bad collaboration involves an arbitrarily uneven distribution of work. An unequal distribution isn't necessarily indicative of a bad collaboration as different people have different expertise. However, if all members are equally versed in the subject matter, then an unequal distribution of work causes an uneven learning experience and for certain members to take on more work than they should.","I try to improve communication with other members and assign tasks for each to complete. If a member is unable or unwilling to take on much work, I treat the extra work I must complete as a way to become more familiar with the subject of the collaboration.","Keeping organized and on pace with the collaboration is important. Knowing what should be finished, who should be working on it, and when it should be done by should be determined early on. ","Ensure that you are communicating with team members via a service that others will regularly check. If collaborating on a large project, set objectives with deadlines to effectively plan out the work.",Communication of the work they have done would be a clear indicator of their contribution.,"At a group level, an updatable planning document that clearly shows the progress done on the collaboration would be useful.","Asking questions to other team members or for them to review the work they've done is a good indicator of work being done and efforts to increase the collaboration. ",I would use this as an indication of quality collaboration and respond to the requests given.,"After the collaboration, I would like to see that each team member has a better understanding of the principles relating to the subject of collaboration. The quality of the result of the collaboration should also reflect this. ","I would likely evaluate my own performance in the collaboration from how much I learned from it. Additionally, if I collaborate with the same teammates in the future, I would keep in mind their understanding of the topic and strengths.","I would like to learn how to collaborate in a manner that demonstrates the value of working on the project, rather than it being advantageous for one to let their teammates handle the bulk of the work.",,0,0,170.005,0,"The platform describes seems to primarily be used to record discussions in a group and then allow one to analyze the discussion. Various details can be assessed like searching for keywords, the amount of questions being asked/answered, the amount of silence, etc.",Agree,Neutral,,Neutral,Agree,Neutral,Neutral,No,,Maybe
2022-09-21 11:27:54,2022-09-22 23:32:29,IP Address,73.74.158.24,100,129875,True,2022-09-22 23:32:30,R_2wTvWSVzRf2l6lc,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",banana_bread,At least daily,2-3 times per week,Less than once a month,Less than once a month,At least daily,2-3 times per week,Less than once a month,Less than once a month,2-3 times per week,2-3 times per week,2-3 times per week,2-3 times per week,Once every few weeks,projects,"A good collaboration involves regular communication, equitable splitting of the workload, openmindedness and respect for team members.",A bad collaboration would result from poor communication and nonchalance towards the project.,"I try to be a more active member by reaching out to other team members, and being more communicative. ",I learned that communication is a key part of collaboration. It is really important that the team knows what is going on and it helps with team work/ team building.,I would advise them to not be afraid of reaching out. It can be hard making the first step but it only gets easier from there. Being more proactive is never a bad thing and can really aid in making more meaningful connections.,"time spent, quantity & quality of work done, commitment level",how well everyone got along,"time spent working together, frequency of communication ",to determine how well people got along,"the level of satisfaction about the final product ","to determine whether the time/effort they put in is in par with their satisfaction toward the final product ",I would want to work with others and make meaningful connections. It would be really nice to work collectively on something and that can be a good bonding experience.,,27.67,141.904,375.545,2,The data capture platform captures real time data about the discussion. It can track the frequency of certain words and also track the emotional tone the conversation is moving in.,Neutral,Agree,,Neutral,Agree,Agree,Agree,Yes,something that only responds when prompted,Yes
2022-09-22 23:44:07,2022-09-23 00:00:45,IP Address,73.9.12.4,100,997,True,2022-09-23 00:00:45,R_bCQExzbn4EOeIzD,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",qwerty,Once every few weeks,Once every few weeks,Less than once a month,Less than once a month,At least daily,At least daily,Less than once a month,2-3 times per week,Once a week,At least daily,Once every few weeks,Once a month,Less than once a month,,"I think a good collaboration is when some one is able to explain topics to another person without degrading them or making them feel inferior. ","I think a bad collaboration is usually when one or both people leave the discussion feeling like they were unsuccessful in accomplishing the task they set out to do. ","I have not had many poor collaboration experiences in recent memory but I would probably just move on from it. ","I think the most important thing I have been taught about collaborating is that you must always keep an open mind. ","I would say the most important thing about collaborating is that you must always keep an open mind. ","I Think evaluating someone's participation in a collaborative environment is counterintuitive and will almost always lead to more competition and less collaboration. ","I think evaluating a groups collaboration is best done by asking if they were able to adequately complete the task. ","Number of interruptions. ","I htink if a person is inturupting others often then they are decreasing collaboration and should be warned or removed. ","number of total ideas pursued or brought up and by whom. ","To judge if many people tried to participate. ","I think the only way to learn is by doing and hearing what others felt after the experience but I think grading collaboration results in bad habits. ","None. ",22.802,57.852,79.06,2,"I t was a voice recording tool. it was used to search for keywords in a discussion and attempt to track collaboration. ",Neutral,Neutral,none,Neutral,Neutral,Neutral,Neutral,No,,Maybe
2022-09-23 08:29:38,2022-09-23 08:58:25,IP Address,24.14.12.41,100,1726,True,2022-09-23 08:58:25,R_XAqygvve3rpcbUR,,,,,42.077,-87.7209,anonymous,EN,I am an undergraduate student,Fourth Year,"Yes, I am a Northwestern student",Mike Reamcheese,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Once a week,Less than once a month,Less than once a month,Less than once a month,Once a week,Once a week,Once a week,Once a month,Once a week,Class notes/content,One where each party contributes and gets something useful from collaboration.,One where not everyone benefits from the collaboration or not everyone contributes.,"Try to make the situation better, or just get what  ever I need from the collaboration alone.","I’ve been taught that collaboration is an important thing to practice in school because in the workforce, most work is collaborative ",I’d say yo collaborate in smaller to medium sized groups so everyone’s role is clearly defined and communication is easier.,"How much time was put into the group work, for one. If there is a specific task an individual has, it would be important to know to what extent it was completed.","The quality of the final product, the cohesion between all of the different parts, the completeness of the collaboration, and the ability of any group mate to explain what the project as a whole is about. ","I’d like to see what other people are working on, what they’re struggling with, as well as progress updates.","The progress updates would just be for my peace of mind to know that the project will eventually come together, and to inform my own timing. I’d want to know what they’re struggling with to know if I could help somehow.",Maybe how we could have done parts of the collaboration better. I’d also like to know how whatever project is was was received in the community.,This information would exist mostly just to evaluate how well the collaboration went to inform future decisions of whether I’d want to work with the same people in the future.,"Ideally, I would like to have a small to medium sized group that tries to collaborate on something with low stakes so we can figure things out without too much fear of failure",,0.697,163.844,164.344,11,"I understand the intent behind monitoring and classifying group discussion, but I really don’t believe this will be helpful. I imagine that this would just make group mates afraid to interact genuinely and hamper communications instead of aiding them.",Agree,Agree,,Strongly agree,Strongly agree,Agree,Strongly agree,No,,Maybe
2022-09-23 09:11:50,2022-09-23 09:28:24,IP Address,204.14.37.34,100,994,True,2022-09-23 09:28:25,R_2pQN7Q9gVCaVhbr,,,,,42.055,-87.6951,anonymous,EN,I am a Masters student,First Year,"Yes, I am a Northwestern student",abc123,Once every few weeks,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Less than once a month,Once every few weeks,Once a week,Once a month,Once a month,Once a month,,"People work together and try to get a good result. And people do the things that they are good at, which can increase the efficiency. Also, a good collaboration involves communication.","Bad collaboration means there are no discussion between the group members, and some people may even do not work.","Try to communicate with the group members and ask them to do their work. Also, try my best to finish my work.",Always be polite to others when you talk to them. And you should finish your work first before you ask other to do their work.,"Try to finish your own work first, and try to discuss with team members if you have problems.",You could check their attendance of the group meeting. And check whether they finish their work,Whether all the members can attend the group meeting and communicate effectively.,See other people's reaction and check whether they understand the work that they should do.,"If they don't understand based on their reaction, you can teach them how to do their work","To make the collaboration more effective, you should see whether other people understand their work.","After you check whether other people understand their work. If they don't, you can teach them.",You can find some materials online which teach you how to collaborate. And ask the group members.,,0,0,86.976,0,The purpose of the platform is to make the group work more effectively. And it helps the group members.,Neutral,Neutral,,Neutral,Neutral,Disagree,Neutral,No,,No
2022-09-21 10:01:45,2022-09-23 09:30:16,IP Address,165.124.85.49,100,170910,True,2022-09-23 09:30:16,R_3MKAflZcpSSyd89,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",oo,2-3 times per week,Once a month,Less than once a month,Once a week,2-3 times per week,Once every few weeks,Less than once a month,Less than once a month,2-3 times per week,Once a week,Once a week,Less than once a month,Less than once a month,,"For me, a good collaboration consists of learning new information, being able to get a significant amount of work done, and having good communication between your collaborators.","Insufficient collaboration usually tends to lack communication, minimal work gets done, and no new information is absorbed or shared.","I deal with poor collaboration experiences by settings timers to hyperfocus on a task, and whenever I see that the group is getting distracted, I try to steer the group back on track. I also try to maximize communication and try my best to convey knowledge that I've learned to my collaborators if they have trouble understanding what we're collaborating on.","I've been taught to communicate as much as possible and to make proper use of the collaboration time. ","I would tell them to keep distractions far away when working/collaborating, such as phones. Additionally, I would recommend that they shouldn't be shy around their peers and try their best to contribute and learn from the collaboration.",Information such as how much time they've spent on the collaborative effort outside of the collaboration time.,Amount of work getting done,Focus levels of collaborators.,"I would use this to keep track of who's collaborating as they should to the collaborative effort, and if someone isn't focusing on the task, I could warn them to get back on task.",Time spent focused on the task and amount of work done.,I would use this information to tweak the methods of collaboration to maximize work efficiency.,"From people with lots of experience, and people who have displayed significant results from collaboration.",,0,0,277.368,0,"The data capture platform described in the video aims to give insights (information) about group discussions through the use of Machine Learning. The application records the discussion, and based on given keywords, calculates metrics such as emotional tone, analytic thinking, etc. This app can be used to understand how collaborations/discussions have progressed.",Agree,Disagree,,Neutral,Neutral,Agree,Neutral,No,,Maybe
2022-09-23 09:25:55,2022-09-23 10:01:36,IP Address,165.124.85.111,100,2141,True,2022-09-23 10:01:37,R_1FG4b47aE6RGm16,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"Yes, I am a Northwestern student",melon,At least daily,Once every few weeks,Less than once a month,Less than once a month,At least daily,Once every few weeks,Less than once a month,Less than once a month,2-3 times per week,2-3 times per week,Once every few weeks,2-3 times per week,Less than once a month,,A good collaboration would be people working together to finish a task and help each other learn the respective information from that task.,"A bad collaboration would be people working together with extremely unbalanced workloads (one person doing all the work), and not everyone coming out of the process having learned the important information.","If I have a poor collaboration experience, I'll either have to spend the time on my own to learn what I need to, or just move past it and hope anything I didn't learn won't be important for me later.","I have been taught that the best way to collaborate is to not directly tell or ask the people you're working with what exactly to do, but to help in getting to the next step of the task so they're able to understand what they're doing and learn for themselves.",I would tell them that they should not feel intimidated to ask people for help or to work together. Everyone wants to work with others and being the one to make that first move is great for everyone.,"Knowing how the others in the group feel about their contributions would be very helpful, along with knowing the time they spent in comparison with others.","Again, feedback from the different members is the most important piece of information. Additionally, being able to see the performance of the group members before and after collaboration.","Time spent working by each person would be useful in real-time, along with engagement level and knowledge retention if that can be measured in some way.","It would be useful to know which group members are actually benefiting from the collaboration, and which members either aren't doing anything or need a different group/different process for learning.","Useful information would be measures of the different students' academic performance on graded subjects, or drive to keep learning and collaborating with other people.","This would be used to know which students need some sort of change in how they work. If collaboration isn't yielding better results in some way, they would need something new.",I think the best way to learn how to collaborate would be to be put into groups in a very low-stakes environment and let kids learn the best ways of working together,,44.064,44.064,186.342,1,"The purpose of the platform is to gather audio data from a collaboration to understand the quality of the collaboration. The data can be used to know different aspects that worked well or fell flat (analytical thinking, clout).",Agree,Agree,,Disagree,Strongly agree,Agree,Neutral,No,,Yes
2022-09-23 10:11:21,2022-09-23 10:11:30,IP Address,165.124.85.73,100,9,True,2022-09-23 10:11:31,R_3oNH2IC3958odE0,,,,,42.055,-87.6951,anonymous,EN,I am an undergraduate student,Third Year,"No, I attend another university (We are only surveying Northwestern University students at this time. This option will send you to the end of the survey)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
