ResponseId,Q19,Q51,Q52,Q57,Q55,Q58,Q59
R_3gZVLc6ZnrIpLGB,The purpose of the data capture platform is to promote good collaboration. This is done through the use of speech recognition and data analytics.,"Time spent actively listening and contributing to discussion, amount of work portioned to participant completed",Peer review scores,Who's contributing to the discussion at the moment? Who is speaking? Has that speaking been effective in directing the conversation in a effective direction?,Recalibrate the discussion and direction if there's one person overly speaking their ideas or if the direction has strayed too far,"Time spent, anonymous peer ratings on collaboration",A nice idea of things to improve on individually for each person
R_2EowTWuajJzB628,It creates a transcript of audio and separates it into different sections to make it easily accessible. The purpose is to make it easier to access different parts of the discussion.,Probably just how much they talk during discussion and what role they have if roles are assigned.,I think it would be important to look at each individual's contributions as well as how the group works as a whole.,I would like to see good communication from everyone in the group.,"If everyone is able to communicate effectively, it would tell me that the group probably works well together.","Maybe some sort of follow up text/email to make sure everyone is on the same page. Also, if everyone is working on what they delegated in the meeting.",It would help see who is dedicated to making the group work well together.
R_wNbQtw8LBMDjYgp,the video was very informative. the video taught me a lot about collaboration and how to effectively collaborate with others.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.,I don't have any unfortunately because I never learned how to collaborate with other people effectively.
R_28CifCvYU4vsRRT,The purpose of the platform is to allow instructors and facilitators to be able to understand who is participating and who is not. The platform also provides transcripts of what exactly each student says.,It would be other participants' evaluation of how much work that person has contributed.,"I would look at how cohesive the final results are, as they tend to indicate how much communication the team had with each other.","I would like to see tasks being delegated to different members, as well as each member's report on their progress.","I would use it to make sure that everything is on track, and if someone is falling behind, the rest of the team could work out how to hep.",I would like to see how each member of the team felt about working with the other members.,I could use this to assess exactly how much work each person has done and how balanced the work distribution was.
R_PuCNaGCwQWtlVfj,"The data capture platform allows for real-time monitoring of discussion. It highlights keyword usage, displays what direction audio is coming from, records full sentences and sentences surrounding keywords, and interprets tone of discussion.","A past class had participants anonymously evaluate their teammates' contributions and effort, which worked fantastically.",Group sentiment and opinion on how well they work together is the best idea I can come up with.,"In terms of computer science assignments, real-time collaboration information sounds like github commits or lines of code written which is not a great metric for effort or work. Maybe time invested while working in a group?",Members who don't participate in group meetings or collaborations are having less of a positive impact on the collaboration,"I'd like to see how each member felt the collaboration was, and how they felt about each of their teammates (anonymously).",This could be used by the collaborators to improve their approaches and methods for the future.
R_3niTlA9sYa30BK3,"The data capture platform records discussions, and provides analysis of the discussion. It allows you to track key words as well as monitoring certain things such as confusion or engagement.",Information that would be useful include a list of things that an individual has completed relating to the project.,Information that would be useful include a group survey just to see what everyone though about the collaboration quality.,Some good collaboration-quality information to see in real time are the current tasks that individuals are working on.,With this real-time information we can see what else needs to be worked on and how these tasks tie into each other,After the collaboration we could include a group survey just to see what everyone though about the collaboration quality.,"From this survey, we can truly judge if the collaboration was actually good, or if it just one person thought it was."
R_3PRFo6W2YA9SY2N,It allows analyzing how the discussion goes to be more scientific and effective. It's also good for review after the fact since the data will be present and you won't have to rely on your own memory.,,,,,,
R_2CKwP44gtbvjh79,The platform is meant to collect student data for use in the classroom so that students may be instructed more personally,It would be helpful to know what their goals were for the collaboration and what steps they took as an individual to achieve those goals. ,It would be helpful to know what strategies groups used to work together and whether they're goals were met. ,It would be interesting to see at different points of the collaboration what each group member has been contributing and at what point,Knowing this information would help to address task completion throughout the group and adjust according to the goals of the collaboration,It would be helpful to know which individual pieces of work contributed most to the overall goals of the collaboration,This info would help future collaborations to maximize efficiency and productivity by knowing what type of work moves you towards your goals the fastest and most effectively
R_1DoOXpPRFUND53I,Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.  I understand how this information might be useful for supporting learning.Please provide 2-3 sentences about the purpose and functionality of the data capture platform described in the video.  I understand how this information might be useful for supporting learning.,"I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.","I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.","I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.","I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.","I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.","I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job.I will try to communicate with those people who are not willing to participate the job, trying to ask them to finish their own work. I will tell them that only all of our group members can participate the job actively and are willing to help with each other, can the whole group finish the job."
R_2P5U7Q8uthDbPh5,The capture platform keeps track of conversations and can detect various aspects. Some important ones include the direction in which discussion came from and the tone/mood. ,Whether everyone is aware of their ideas,Whether everyone can say they contributed to the final project,I don't think there is "quality" information per se. Anything that anyone speaks deserves to be considered.,Everything should be taken into account.,I think it's less of making sure everyone is satisfied and more that the information was at least considered in making the final descison.,"Improve your collaboration for next time. If you knew someone wasn't included, try to include them next time. Maybe you talked too much yourself. Or maybe you agreed with everything so had nothing to add. Either way I think it's important to try to integrate everyone."
R_3ssu23pzcsTAlLW,"The platform records audio from individuals' devices, using machine learning to analyze and categorize group discussions. It allows you to see when individuals were actively collaborating, when questions were being asked, and when members were silent, and it also shows the overall tone/mood of the discussion.","I would want to see what effort the individual put in, as well as what ideas they contributed (even if they weren't ultimately used)","The ultimate quality of the resulting product, weighed against any self-reported difficulties in the group dynamic","Editing logs for each individual in documents, presentations, etc.",I could use this to determine the relative effort and ideas of individuals,I would want a short reflection from each individual on how they felt the collaboration went.,To ensure that there were no apparent difficulties in the group dynamic that could have impacted individual contribution or the quality of the final product.
R_2v1c8U6SGv84rY9,It can be used to analyze the broad characteristics of a conversation like contribution dynamics and tone.,How enthusiastic they were in offering (or receiving) help.,How much people would like to work with them in the future ,Whether people don’t feel comfortable speaking,Talk with them and address whatever makes them feel like they can’t talk.,Verbal quality checks,Identifying personality types that work well together
R_exv4bMixOn5eTjb,The data capture platform allows groups to track collaboration quality both during and after collaboration. It also allows groups to stay organized and on top of all tasks.,"How much work they put into the final project, how often they showed up to scheduled meetings, and how they treated others in the group.","How well the group communicated as a whole, and how well the group stayed on track in terms of time and content of meetings.","The amount of progress made at the end of each meeting, and using organization/communication to assign tasks to complete before the next meeting.",To improve upon a certain aspect of collaboration if I feel it is lacking.,To view the final product and be satisfied with the work the group did.,Recognize mistakes I made and use them to prepare for my next collaboration.
R_2schUaJKV3f2EGL,Paying attention to participation data during the collaboration is particularly important for the analysis of the collaboration.,The main information is the individual's contribution to the team's results.,"Comprehensive assessment of deliverables, team atmosphere, and collaboration.",Current work progress is an important expression of how well the team is working together.,Reconcile with plans and key milestones.,Satisfaction level of team members with each other.,"If the team atmosphere is good and all team members are satisfied with the results, then it is a successful collaboration."
R_2RQaoX7jBQDuV4E,The online dashboard that gives the discussion facilitator several real-time insights into each group.,How they participate every meeting. How fast they response when the problem occurs.,If we complete the work in a good status and communicate easily and smoothly.,We communicate easily and complete the work in time and well.,,,
R_BDOvZY4whUpceZj,The purpose is to observe collaborative learning. The functionality is an online dashboard that gives the discussion facilitator key insights into the group dynamics.,,,,,,
R_2Pbs0pGfPs7HvBD,"It seems like the purpose of the tool is to capture important insights about what is said in the recordings that may not be easily noticeable by a human, such as keywords and other nuances/rhetoric of the speech. I think it could definitely provide some information that people don't notice every day.","I think having evidence of the work done by each person would be helpful, such as knowing what parts of a presentation they created.",The overall work of the group considered as a whole would be useful for evaluating quality.,"It could be useful to see how a collaboration is coming along, such as a progress chart.",Being able to track the progress of a project would be good because it could encourage people to be accountable.,"Detailed feedback would be helpful, considering the quality of the work as well as the quantity.","It would be good to allow group members to reflect on what went well, and what to improve for next time."
R_3scVs4NA7yJxMER,"It is supposed to be used to anlalyze speech on multiple different levels. These levels seem to include subject matter, tone, and emotion among others. I think this is a really cool device that could have a lots of potential.","How much they communicate, how often they make good on what it was agreed that they should contribute to the effort. How much of their relevant skills contribute to the effort in general.","Productivity, constructive behavior, balanced allocation of responsibility, and synchronization are all important bits of information.","Productivity, constructive behavior, balanced allocation of responsibility, and synchronization are all important bits of information.","Allocate responsibility and deadlines based on how well you believe the group can perform: Productivity, constructive behavior, balanced allocation of responsibility, and synchronization.","How well everyone in the group, collectively and individually performed, Productivity, constructive behavior, balanced allocation of responsibility, and synchronization.","Take the lessons you learned from trying maximize how well you demonstrate: Productivity, constructive behavior, balanced allocation of responsibility, and synchronization, and map it to how you've improved in what you do overall as a collaborator, and go from there."
R_3O8JmhvSW3jHU4S,The purpose of this data capture platform is to enhance group collaboration by collecting and analyzing certain metrics. It is meant to be used by group members. ,"I think if you could find a way to measure the impact they had, whether it be the guide they had on direction or direct work they did. ","I would say both how well their worked turned out, and then a survey judging on how smooth their group collaboration was at a social level. ","I would say reviews judging the quality of your groups works, as well as the participation of others. ",First off to make sure that the group dynamic is still working. Then to increase the quality of work and production. ,"A review on how each member thought they did in the group, as well as what the group dynamic was like. Also any thoughts that they would change. ",I would use it to better my method of selecting groups for a class or project setting. 
R_1PSEWcXDWPI7xA5,The purpose of the device is to gain insight into what is going on in discussion. It listens to discussions and provides metrics like a timeline of type of statement and measure of emotion level. ,The number of lines of code they committed on a coding project. ,Surveys by group members on the participation levels of other members. ,The relative amounts that different group members speak in discussions. ,I would look into the outliers to see if the member is either not participating or is dominating the conversation. ,Surveys by members of the group about the performance of other group members. ,I would investigate any instances of negative feedback to see if the group member was harmful to the group. 
R_274iWv4bJ70WRiF,It has keywords list that can easily find what you are looking for. It also has timeline control that can mange every topic's discussion time.  ,What the amount of work the individual has done. ,How creative or unique about the group members has come up with. ,,,,
R_sbtKBt9AwSMz0Xf,The purpose is to help discussion leaders (or teachers) understand the dynamics of their group that they are watching over through a device. This will serve to ease the difficulties of managing large classrooms or groups where there is a small teacher to student ratio. Indivudals are recorded and their key words are detected to better understand the contributing dynamics.,"Time spent working, including within group meetings and outside meetings. Breadth of participation in project-- did participant only focus on one part of the assignment or multiple?",If time was spent outside of group meetings where individuals had to work alone. Length of meetings. Volume level of meetings. ,Volume level would be interesting to track. ,Perhaps it could serve as a visible check to the collaborators when discussions are trending towards arguments.,unsure,unsure
R_3EGMl5mSwJiWAR8,The purpose and functionality of the data capture platform is to obtain live data on people as they speak. It captures things such as tone and the words that they say. ,,,,,,
R_29leV4MKY9YmnWF,"The platform is pretty useful for highlighting the most important moments of a discussion. Based on keywords you can have a better experience reviewing the audio of a discussion, such as a lecture.","How original their ideas are, how open they are to ideas other people present and how proactive they are.","The members capacity to expose their ideas, listen to what each other have to share, and most importantly the ability to get a sort of consent of the what will be the final idea.",the degree of interest of each person in actually collaborating for the final goal.,"It would be easier to differenciate shy people from uninterested people, and better deal with how to actually stimulate them to be part of the group actively.",how confortable the people felt during the discussions.,it is always good to have a reflection if you were not unpolite when presented to confrontating ideas and also avoid talking too much or too little in the discussion.
R_3P7blhxYVzHEnWR,"able to capture the necessary information given by a lecturer. based on the ton of voice, the platform is able to take that into account to get information ",How much effort they are putting in the product or assignment and if they are doing the little things to show up. I found that it is much easier to help out a struggling individual who trying compared to someone who doesnt care or is not trying. ,Seeing the the progress and work completed after a meeting or session. Collaboration can be bad when people get off topic ,"meaningful conversations, productive work ",able to prepare for the next meeting,how each member was satisfied with the meeting ,find improvements on how to better handle these types of meetings
R_6rLZEU5QKwUVNPH,I think the purpose of this data capture platform is to understand how a group of collaborators discuss and engage. More specifically there is a case by case basis of tone and analytics of the entire discussion to help understand how some groups collaborate.  ,I think how much effort they put in to meet up and help each other even when they are themselves doing good is a good indicator.,I think the level of work put in and also how much time they spend is a great quality indicator. ,I think how often people meet up with each other and how often they can work through problems without error or dismay.,I think it is useful to see who to work with and how I can tailor my study practices with those specific people.,I think getting the results I wanted with either the studying aspect or grade aspect is a great quality indicator.,I would use it to see if I am compatible to work with that person and who I can better work with. 
R_22S6JBd2h0NG1VQ,"To record and monitor discussion, also sentiment and content analysis after the discussion",Obviously contribution to the goal and outcome of a collaborative activity should take the majority of the factor,The amount of outcome and the amount of time spent on a collaboration effort. Good collaborations should be efficient and require less time and effort,"I have no idea of what this this information should look like yet, but if everyone contributes relatively evenly, I think that would be a good indicator",I would use this information to gauge the progress and status of this collaboration to adjust the collaboration accordingly,"I have no idea of what this this information should look like yet, but if everyone contributes relatively evenly, I think that would be a good indicator",I would use this information to gauge the progress and status of this collaboration to adjust the next collaboration accordingly afterwards
R_2qCYCYunLTdigwY,The data capture platform is able to recognize patterns and trends in the conversations that are happening during group discussions. I was particularly impressed by the keyword detection mechanism which would help identify the direction of conversations/common topics that come up,"How much they spoke, how active they were in group conversations, and how much they were able to support others.",How much did members of the group learn? What were the members of the group able to accomplish?,How active people are participating / how engaged people are in the collaboration group activity,Develop strategies to keep people engaged and find what specific items are keeping people disengaged,How productive the session was and how much work was completed,Understand what went right and what went wrong with the collaboration approach
R_DUdASCLkDd2tN1D,"the platform allows teachers to properly facilitate online collaborative learning. Teachers can use the platform to track discussions, and better direct discussions. ","are they attending and participating in group meetings, are they doing their individual to-dos timely and well.","team member satisfaction, quality of work done by team, ",,,,
R_3EMdtEw5PoFa7Y3,"Can automatically generate keywords for chatting, convert voice messages into text messages, and visually display the quiet time",,,,,,
R_p0s1fi5JK5HvXDb,"The data capture platform allows teachers to get better insight into student discussion. Teachers can see specific parts of the discussion, what keywords are being used, and the tone of the discussion. ","I would see who worked on which parts of an assignment. If there is too much from one person, it could mean that they are taking over other parts or that other members are not as engaged. ",I would see if everyone in the group is comfortable with expressing their opinions within the group. ,I want to see everyone talking when there's a group discussion. ,"If someone is being overshadowed, I would step in and give them the space to talk about their opinions. ",I would like to see equal contribution to the project. ,I would address any issues that come up that can be improved on for future work sessions.
R_10NagZfEXmfnVDt,Capture keywords discussed in a discussion and make them be useful to review or do some deep analyze.,The amount of ideas that were come up by the participant and the amount of works done by the person.,,,,,
R_1EbUgpws4SMtiHB,"This application provides a summary of what was said in a collaborative discussion environment. For example, it can tell you which person was talking the most, what words were repeated a lot, etc.","Number of hours put into a project, number of other people in the group, ideas brought forth to the group",,,,,
R_1dlSR6riV9bOZYF,The purpose of this data capture platform is to capture recordings of conversations in the classroom as the ratio between students and teachers has increased over the years. This makes it so teachers can listen in to these collaboration sessions. The functionality of the platform includes picking up of keywords and showing what is said around it and different qualities of the conversation (like clout or tone).,I would say how much they prepare in advance for any group meeting and if they share what they have done for their assigned task.,I would wish for an anonymous survey for each individual to explain their opinions on the other group members.,I would like to see a note sheet of everyone's ideas and contributions to see who is participating and revisit their idea.,I would use this real-time information to go back and review their idea to think it out and see if it can apply to our final product.,I would want to see people write a short summary on what the group discussed for that meeting.,I think it would give the group a little refresher the next time we meet on what we discussed previously and what else we need to accomplish (and if we did by the next meeting).
R_734edtBz2phDSRr,Teachers can't evaluate every groups tone. The data capture platform can indicate how well a group is working together by evaluating the tone of the conversations within groups.,were there any blockers that prevented you from producing your intended contributions,how did you split the work up,how is your group keep track of progress/communicating,having logs on group communication makes it easier to understand how the project went and how it was managed,a good project doesn't always mean good collaboration - I'd want to hear from the group about how their collaboration went,feedback on group dynamics can help improve future group dynamics and correct current group dynamics
R_Z2cEnkpJdr2mVwd,It can help students collaborate better in the class. It gives the discussion facilitator several real-time insights into each group.,It depends on how much time they spend on the project.,The grade we received for the course.,A teammate can help others who are struggling with the project.,"If I could finish my work early, I would help others.",We can build some connections.,We can build some connections.
R_1fknSRdbAqDxeIH,Record discussions and analyze them to extract helpful information to improve learning and collaboration,The quality of the work along with whether or not the expectations of the project was met.,"How well things were communicated, whether or not I had to waste time being blocked by other people or waiting on other people, whether or not I felt like I had a fair share of the work","Maybe how satisfied people are of how things are going, some people tend to be shy to communicate their feelings even if they're unsatisfied with the group or the work they were given",Reallocate work or try to improve the team dynamic by compromising on previous decisions that may have been unsatisfactory,Efficiency of the group ,Decide whether or not I would work with the same group in the future
R_3q7Kajk4RaakA4i,"This data collection and display system provides insight to teachers or professors with classes so large, they can't hear the discussions of so many small student groups. So, they have audio capture devices for each group with analytics to identify the key words repeated in discussion, which can be filtered over time, or placed in context of the transcript. As a result, the teacher can get an idea of what students seem to most discuss.","I think if you asked an individual to present an entire (collaboratively-done) assignment alone, the sections which they elaborate on the most will have been the sections they completed because they have the most hands-on understanding of those portions.","Each individual's knowledge on all aspects of the assignment, including portions not part of their main responsibility. Collaboration is intended for everybody to understand the full assignment. ",Who spends the most time talking/typing/performing key activities.,"If I noticed I was dominating the conversation I'd ask myself if I was letting others ask their questions, or if I was actually learning about their contributions. If I'm talking, I'm probably not learning new information.",Did each person feel heard? What parts of the project were the most confusing to the most people?,"This could guide the focus of the next collaboration. It could encourage some to speak up with questions or practice alternative explanations, and remind others to listen."
R_0ihHbWbZBiWViRb,Purpose is to provide insight to groups about the types of conversations they are having and what direction the conversations are heading. It does this by having microphones on your device that pickup conversations and analyze it in real-time with their AI.,Survey from peers because no one knows how much they have done except for the other members of the group.,Reading communication methods amongst team to see how they are splitting up the job while still reviewing each others work.,Daily reviews of other group members to help keep on pace while still holding everyone accountable,Leverage the information to make decisions about division of work and time allocation,General information on how the group performed together from a perspective that looks at the interactions between the members,Information could be used to teach the students how to act better or from positive groups to take ideas from them and share it with others
R_1JY40ZiDD8a8rSM,It is a platform that analyzes group discussions. It specifically tracks certain keywords and the direction off discussions to understand how functional discussions are.,,,,,,
R_27xo6GI24YuGOck,The purpose and functionality of the data capture platform is to give a discussion facilitator several real-time insights into groups. This platform highlights how some metrics are changing over the short-term of discussions to highlight trends to provide more insight into what is happening within the group. ,"Students' own review of themselves and of each other. The reviews should most likely include cooperation, attitude, role in team, communication, and what they've done. ",Students can write up the different approaches the team took to overcome obstacles throughout the projects. This write-up could be asked 2-3 times throughout the project so that improvement in collaboration quality could possibly be seen and what steps they took to improve upon collaboration.,"Participation, encouragement, attitude, focus, contribution","For participation, it'd be important to see how each member is participation, whether it is passively or proactively. We can also examine how members are encouraging one another and what attitude/focus they have to do so. If we see that participation/encouragement is positive, then we can tell that the team seems to work well with each other. ",How each member thought others collaborated using the same real-time information listed above.,"We can talk to each member after seeing their responses to see how the team can address any issues/problems that they feel exists within the team.  By addressing each member's thoughts, we can help the team improve on any gaps in collaboration quality. "
R_AETmOZbZ6LbsglX,"It was to teach us about how to conduct data capture, and ways to filter out keywords from the video. ",,,,,,
R_bvlWt8JEvelS8rT,The data capture platform was used to track the ebb and flow of a discussion. It tracked when things were said and when there was silence. It also logged key words like "hate" to track the emotional tone of the conversation.,,,,,,
R_1LXOTNJ1jv3vNxM,AI will listen to the conversation and pick out certain keywords. It will allow the instructor to customize and access information on the discussion and break-down the collaboration session into statistics.,"What part they had, how much work they did, and how much they contributed to collabortion.","The process (how quickly each stage went, how respectful discussion would be, how group members handled disagreement), and finished product","Words per person during discussion, amount of work done per person, number/quality of tasks delegated to each person and how delegation happens","I have no current need to assess collaboration. However, I could use it to better my own group collaborations, or if I were a teacher perhaps use it to assess my students in a ""more fair"" manner for group work.",Which piece of the final product each team member contributed. Some self-assessment of the individuals would be useful as well.,"In the same way as before, I currently have no need for it, but I could use it to better myself and introspect on my own collaboration. Teachers could also use it to assess student group work."
R_pB2NgfI6aKzj4S5,"The data capture platform provides key insight into various metrics that can analyze the group interactivity such as most common keywords, the majority of sound coming from particular direction, or even the content of discussion being classfied. Thus, the data capture platform provides a good idea of how the discussion overall went and what can be done to improve for future sessions.","Some information I would utilize to assess individual participant's contributions towards collaborative group are ""Did they provide thought-provoking ideas that initiate further discussion and allow for progress?"", ""Did they try to truly understand their peers' unique contributions and try to provide a meaningful response back?"", or ""Did they engaged in effective communication and interacted with wide variety of peers instead of just select part of the group?"".","At a group level, I would analyze the group interactivity level, the diversity of flowing ideas, and the enthusiasm each group member brings to the group as a whole.","In real-time, I would love to see the degree of teammates bouncing ideas off of each other as well as the attentiveness of each and every member when a peer speaks.","By using this real-time information, I would provide a weekly-based trend for each and every group to let each group know about how their collaboration skills are either improving, staying relatively the same, or declining. This way, each group knows whether their collaboration needs more work or if they are already doing a good job.","After the collaboration, I would like to see the degree of contribution from each member in post-collaboration reflection session as well as if the peers are able to comment on each other's strengths and weaknesses.","From this post-hoc info, I believe that you can truly see the group dynamics at heart even if their work is done for a particular group assignment or project. By referring to such info, each and every group knows what each member should work on and what particular manner of collaboration they should strive to achieve."
R_2wMsyNDEbePIwSl,"To analyze discussion and give real time metrics of the quality of the discussion. It keeps track of things like keywords, the quality of the voices, and also keeps a transcript of the discussion.",How much they participate in discussion and how engaged they are with the group.,How much more efficiently a group works as opposed to if an individual did it themself.,How much positive discourse there is in a group at any given moment.,More constructive dialogue in a group generally means that the group is moving forward with their work.,The confidence level of the group members in the quality of the end product.,Individual confidence in the end product generally corresponds to the actual quality of the work.
